feature,mean_abs_shap
pos5_bit28,0.002874059530304242
pos5_bit67,0.00258238370755527
pos7_bit125,0.0023635065882928034
pos7_bit10,0.0021140454580816314
pos7_bit19,0.0020220111452354424
pos7_bit39,0.001989224424773236
pos7_bit12,0.0019441582225669105
pos5_bit114,0.0019136868747509064
pos8_bit97,0.0017925373351190582
pos5_bit102,0.0017518293354014812
pos5_bit8,0.0016540733276733499
pos5_bit124,0.0015406156285947515
pos5_bit29,0.00145616640346094
pos5_bit21,0.0014323959596678805
pos8_bit124,0.0014025012178403558
pos0_bit103,0.0013263304945493907
pos6_bit82,0.0013091277274527408
pos0_bit29,0.0012659831970280356
pos5_bit64,0.0011555018452979464
pos8_bit29,0.0011252641612243927
pos3_bit55,0.001116625489571536
pos6_bit33,0.0011162109056785214
pos6_bit1,0.0010885762192352677
pos5_bit97,0.0010414974245931137
pos6_bit18,0.0010059862850585238
pos7_bit18,0.0009919303777145279
pos6_bit8,0.0009837261148761363
pos7_bit33,0.0009759703356029558
pos5_bit41,0.000969969644122051
pos0_bit99,0.0009641874088032771
pos3_bit124,0.0009481569536250556
pos4_bit114,0.0009259852337162922
pos2_bit85,0.0009258986859537198
pos6_bit55,0.000902713731116319
pos7_bit1,0.0008932420550247136
pos0_bit97,0.0008857173291318025
pos0_bit60,0.000884526473896949
pos7_bit60,0.000877903130000023
pos0_bit124,0.0008709395187766314
pos8_bit4,0.0008702294203782466
pos5_bit33,0.0008647740745961513
pos1_bit85,0.0008315148687141783
pos6_bit60,0.000816412098680452
pos8_bit8,0.0008031830480078119
pos0_bit21,0.0007922117380218109
pos2_bit18,0.0007921760290703589
pos2_bit57,0.0007886821363567971
pos5_bit40,0.0007872153056511541
pos1_bit100,0.0007851253656831979
pos0_bit18,0.0007813262853737587
pos2_bit60,0.0007803924941809678
pos10_bit106,0.0007568379839952191
pos7_bit77,0.0007536890651496477
pos2_bit1,0.0007511329287547003
pos10_bit85,0.0007361145731926697
pos1_bit106,0.000732157111097585
pos0_bit1,0.0007302775467068199
pos3_bit90,0.000722692000393142
pos3_bit5,0.0007112523703674481
pos4_bit118,0.0007047774568772186
pos5_bit105,0.0007003914698099608
pos2_bit118,0.0006919987022950912
pos5_bit82,0.0006803849937075048
pos13_bit12,0.0006772395322222145
pos3_bit81,0.0006766998044149224
pos3_bit100,0.0006746857418578708
pos0_bit69,0.0006669382077625327
pos0_bit118,0.0006639978382317279
pos9_bit29,0.0006628813116016798
pos3_bit86,0.0006598289492392553
pos6_bit10,0.000659745494540194
pos8_bit64,0.0006597203725518776
pos1_bit5,0.000655062266529724
pos8_bit55,0.0006477519091827326
pos0_bit57,0.0006410178301965258
pos0_bit38,0.000635697497714169
pos0_bit62,0.0006348682006298016
pos7_bit38,0.0006345078752332749
pos1_bit81,0.0006341758626958754
pos5_bit87,0.0006332379194710103
pos5_bit99,0.0006241062631970938
pos1_bit86,0.0006235496588633475
pos12_bit27,0.0006209055318460953
pos3_bit8,0.0006202320346313272
pos7_bit27,0.0006190844355221817
pos8_bit28,0.0006137123332220703
pos10_bit67,0.0006136498492618018
pos4_bit97,0.0006123840473102406
pos2_bit33,0.0006100266924171036
pos4_bit0,0.0006071340866838884
pos0_bit33,0.0006027239253226695
pos7_bit4,0.0006004489862602401
pos3_bit21,0.0005968991251322095
pos6_bit39,0.0005953541649273717
pos7_bit80,0.0005920744369197733
pos0_bit119,0.0005813972232024079
pos1_bit90,0.0005740124504961574
pos0_bit0,0.0005724405430235941
pos8_bit21,0.0005696128694594125
pos8_bit18,0.0005654343983676544
pos9_bit124,0.0005649993272970956
pos8_bit27,0.0005630613803551048
pos8_bit1,0.0005567823605641273
pos12_bit60,0.0005563084074324205
pos3_bit29,0.000555086117753132
pos7_bit118,0.0005499436376070875
pos7_bit36,0.0005496762975443044
pos1_bit118,0.0005455391405967354
pos5_bit16,0.0005449931280700306
pos12_bit19,0.0005414049075707947
pos2_bit55,0.0005402635623154427
pos6_bit124,0.0005388653944629956
pos4_bit1,0.0005365142662146243
pos3_bit4,0.0005364703586561481
pos5_bit94,0.0005340894757623209
pos9_bit125,0.0005337476434885415
pos7_bit8,0.0005291616230214123
pos4_bit85,0.0005289371917735181
pos4_bit18,0.0005272765950413511
pos4_bit124,0.0005195734411807127
pos4_bit119,0.0005182995201062026
pos2_bit121,0.0005174244194049852
pos8_bit60,0.000516745688589685
pos8_bit118,0.0005112509315182155
pos3_bit33,0.0005095910102008782
pos9_bit106,0.0005081881030417572
pos3_bit36,0.000504604730950936
pos1_bit57,0.000504200425022458
pos12_bit33,0.0005022421587595277
pos4_bit60,0.0004990777988999565
pos7_bit106,0.0004978340535011023
pos12_bit125,0.0004959708472696557
pos8_bit106,0.0004925896222357864
pos6_bit12,0.000491439932519344
pos9_bit97,0.0004889316408593255
pos4_bit33,0.0004870776955617631
pos3_bit28,0.00048285387595604657
pos12_bit39,0.0004818592595341449
pos13_bit125,0.00048121960444829075
pos11_bit18,0.0004786840925661085
pos10_bit60,0.00047683607175125637
pos1_bit121,0.0004755493585108187
pos6_bit28,0.00047397125327066123
pos8_bit33,0.00046987570017011825
pos7_bit114,0.0004690898999759531
pos7_bit24,0.00046639489163163736
pos5_bit109,0.0004662879223396095
pos5_bit98,0.00046627808526041064
pos2_bit106,0.00046276703057932217
pos11_bit60,0.0004623213372555618
pos5_bit115,0.0004594736757413693
pos11_bit10,0.0004577565980806037
pos6_bit57,0.00045437327894430884
pos4_bit55,0.0004543517495225713
pos7_bit97,0.00045150929669523165
pos6_bit118,0.0004512614862649246
pos1_bit36,0.0004511222191297355
pos7_bit64,0.00044897922132940507
pos3_bit118,0.00044731227021579945
pos9_bit12,0.0004467210166170668
pos0_bit98,0.00044657476772147974
pos9_bit77,0.00044531447012044364
pos12_bit18,0.00044511232018145546
pos13_bit19,0.0004392031577298492
pos10_bit1,0.0004331178591102316
pos4_bit121,0.000432375157678252
pos5_bit17,0.0004298720757096377
pos3_bit122,0.0004295647049325241
pos3_bit40,0.00042954673526014953
pos4_bit106,0.000429055509122816
pos8_bit80,0.0004279081069775764
pos5_bit103,0.0004221098512303967
pos8_bit125,0.000420682698118947
pos0_bit55,0.0004200912848266394
pos7_bit55,0.00041816252763756577
pos10_bit33,0.00041793628583190805
pos12_bit10,0.0004170712345313739
pos9_bit80,0.0004132661728875553
pos3_bit97,0.00041210782631834084
pos0_bit64,0.00041176511992975284
pos11_bit1,0.00041145987422005364
pos7_bit85,0.00041095332360481296
pos8_bit57,0.0004099257112221707
pos5_bit69,0.00040941874108555657
pos1_bit64,0.0004084796887928083
pos6_bit5,0.00040598331229620225
pos9_bit27,0.00040576322146563816
pos4_bit50,0.0004045452079406959
pos6_bit125,0.0004039397723441775
pos6_bit40,0.00040213599799575523
pos0_bit114,0.000398554779951798
pos5_bit55,0.0003977116914543348
pos1_bit124,0.00039755810960536277
pos12_bit12,0.0003968974514946785
pos6_bit19,0.00039672755374877994
pos8_bit86,0.0003930690786910551
pos5_bit5,0.0003894885240098857
pos5_bit45,0.0003893640038930963
pos6_bit97,0.0003892974195467282
pos1_bit18,0.00038905878677507685
pos3_bit0,0.0003890445870591248
pos8_bit12,0.00038843439432904614
pos6_bit100,0.0003875049495317836
pos7_bit67,0.0003859908341092079
pos8_bit67,0.00038535982890171533
pos4_bit61,0.000384758868770966
pos9_bit39,0.0003840427435431531
pos7_bit81,0.0003839864061921593
pos5_bit118,0.00038390502901394216
pos3_bit57,0.0003831671644978874
pos8_bit114,0.00038306973576053853
pos5_bit18,0.00038170324392115655
pos3_bit85,0.000381084426750251
pos1_bit69,0.0003802751764124451
pos6_bit27,0.00037856056828511087
pos8_bit39,0.0003785088655707497
pos2_bit67,0.000377430518783096
pos9_bit103,0.0003768419632063897
pos11_bit33,0.0003763285806251506
pos9_bit18,0.0003746068870244468
pos1_bit60,0.0003725588634939192
pos1_bit55,0.00036964559745039557
pos0_bit42,0.0003689710186232769
pos6_bit50,0.0003674214333205551
pos9_bit10,0.00036619476222581656
pos0_bit3,0.0003659147668730062
pos1_bit119,0.0003651281383489058
pos11_bit125,0.00036235353948445374
pos13_bit10,0.00036170594771717994
pos9_bit118,0.0003595446383895839
pos6_bit47,0.0003570085379581022
pos9_bit64,0.00035648312800496854
pos4_bit57,0.0003563066214429346
pos10_bit18,0.0003552459748137751
pos4_bit9,0.00035462805608290173
pos2_bit114,0.0003543945641331856
pos1_bit97,0.0003526163536637412
pos4_bit4,0.0003521689563912868
pos5_bit86,0.0003515421766661897
pos10_bit12,0.00035092712176437946
pos5_bit84,0.00034920390927058615
pos4_bit82,0.00034868544361767287
pos6_bit61,0.0003478083486097362
pos9_bit33,0.00034763652109901443
pos7_bit100,0.0003467263194293059
pos2_bit103,0.0003455202664794776
pos8_bit9,0.0003444166248319331
