feature,mean_abs_shap
pos1_bit59,0.012040333
pos2_bit66,0.011836699
pos3_bit33,0.011830242
pos5_bit8,0.01146866
pos14_bit59,0.011416011
pos2_bit59,0.011270129
pos0_bit74,0.011208929
pos7_bit98,0.0112068625
pos3_bit37,0.011137863
pos7_bit6,0.011063541
pos9_bit114,0.010988052
pos6_bit108,0.010808349
pos8_bit58,0.010744554
pos4_bit101,0.010528076
pos9_bit6,0.01020352
pos1_bit38,0.0099623585
pos9_bit108,0.009871829
pos8_bit67,0.009618674
pos4_bit105,0.009593598
pos3_bit27,0.009509752
pos10_bit66,0.009502061
pos3_bit42,0.009368913
pos11_bit83,0.009350072
pos5_bit67,0.009343214
pos6_bit114,0.009336514
pos8_bit3,0.009276996
pos5_bit63,0.009218931
pos2_bit72,0.009137297
pos7_bit43,0.009050101
pos4_bit18,0.008867456
pos1_bit101,0.008777303
pos10_bit79,0.008699924
pos1_bit74,0.008528739
pos5_bit18,0.008470447
pos5_bit93,0.0084338905
pos5_bit98,0.0084298905
pos3_bit23,0.0084132925
pos11_bit33,0.008338864
pos1_bit16,0.008200241
pos10_bit27,0.008176216
pos4_bit23,0.008084571
pos3_bit114,0.008051651
pos4_bit35,0.008041051
pos2_bit58,0.0079888
pos9_bit31,0.007945824
pos9_bit30,0.007845172
pos9_bit59,0.007827438
pos7_bit116,0.007823026
pos5_bit84,0.0077691535
pos4_bit73,0.0077225664
pos4_bit98,0.007585617
pos0_bit83,0.007566277
pos4_bit11,0.007484256
pos4_bit38,0.007423383
pos2_bit38,0.007358605
pos5_bit119,0.007305184
pos0_bit38,0.007230352
pos4_bit54,0.0071177944
pos3_bit74,0.007100459
pos3_bit6,0.007027226
pos4_bit13,0.00696718
pos1_bit23,0.006940184
pos6_bit2,0.006926275
pos11_bit108,0.0069073658
pos2_bit90,0.0068925126
pos4_bit121,0.006833871
pos1_bit63,0.006809668
pos3_bit84,0.006759623
pos8_bit114,0.006756092
pos8_bit43,0.0066697975
pos2_bit13,0.0065888
pos4_bit99,0.0065667694
pos4_bit74,0.006500417
pos4_bit44,0.006466351
pos2_bit93,0.0064624166
pos3_bit118,0.006394535
pos8_bit4,0.0063068517
pos8_bit118,0.006263019
pos0_bit2,0.006223591
pos1_bit40,0.0061998353
pos4_bit43,0.00619932
pos10_bit6,0.0061980025
pos0_bit1,0.006196106
pos9_bit42,0.006147476
pos6_bit102,0.0060625733
pos4_bit118,0.0060517583
pos0_bit43,0.006051185
pos4_bit16,0.00603916
pos3_bit98,0.0060370336
pos5_bit101,0.006005453
pos2_bit91,0.005951597
pos1_bit6,0.005879272
pos9_bit91,0.0058547766
pos0_bit101,0.0058337753
pos5_bit31,0.0058291284
pos12_bit27,0.0057830084
pos6_bit101,0.0057824356
pos3_bit11,0.0057662916
pos7_bit31,0.005716293
pos0_bit84,0.0056991894
pos11_bit111,0.005645996
pos2_bit106,0.0055739684
pos7_bit91,0.0055549107
pos4_bit111,0.0055181882
pos6_bit84,0.005515627
pos2_bit111,0.005509278
pos8_bit0,0.0054995096
pos1_bit89,0.0054888013
pos10_bit71,0.005442299
pos3_bit71,0.005433891
pos9_bit44,0.0054295114
pos5_bit6,0.0053685065
pos6_bit79,0.005256158
pos5_bit106,0.0052123526
pos8_bit23,0.005119188
pos6_bit91,0.0051173433
pos2_bit35,0.005116025
pos5_bit23,0.0051127523
pos9_bit62,0.00501591
pos8_bit106,0.0050097057
pos4_bit108,0.005001758
pos1_bit2,0.0049812635
pos2_bit6,0.004888303
pos10_bit57,0.0048623066
pos10_bit16,0.004853043
pos7_bit101,0.004722309
pos6_bit90,0.0046686763
pos1_bit85,0.0046555973
pos2_bit114,0.0046251263
pos6_bit122,0.0046023023
pos7_bit74,0.004471808
pos9_bit35,0.0044144625
pos6_bit18,0.0043791826
pos9_bit58,0.0043688337
pos5_bit66,0.00435507
pos3_bit44,0.004327162
pos2_bit37,0.0043250076
pos5_bit74,0.004280802
pos6_bit99,0.0042621186
pos6_bit67,0.0042571197
pos8_bit91,0.004240988
pos7_bit38,0.0041348436
pos6_bit8,0.004096934
pos3_bit72,0.0039554453
pos7_bit78,0.0039545214
pos1_bit42,0.0039330744
pos7_bit2,0.0039022001
pos6_bit72,0.0038852303
pos1_bit71,0.003817437
pos11_bit119,0.0037997346
pos10_bit8,0.003798967
pos9_bit90,0.0037514647
pos2_bit74,0.003710802
pos9_bit93,0.0036992044
pos11_bit122,0.0036875138
pos2_bit63,0.003658905
pos8_bit111,0.00347125
pos8_bit108,0.003462642
pos11_bit58,0.003442577
pos13_bit27,0.0033603436
pos10_bit119,0.0033516374
pos1_bit37,0.0033388434
pos3_bit31,0.0033154502
pos2_bit2,0.0031892844
pos3_bit63,0.0031860562
pos5_bit43,0.0031695256
pos11_bit31,0.0031182673
pos1_bit91,0.0030839988
pos3_bit93,0.0030754218
pos0_bit58,0.0030558452
pos8_bit54,0.0029647495
pos4_bit71,0.0029165032
pos1_bit111,0.002900292
pos2_bit23,0.002895558
pos3_bit121,0.002879135
pos0_bit44,0.002870385
pos5_bit105,0.0028123867
pos5_bit116,0.0027546438
pos10_bit59,0.00273983
pos12_bit66,0.0026939746
pos9_bit13,0.0026673453
pos2_bit16,0.0026660454
pos3_bit91,0.0026464507
pos3_bit43,0.0026386885
pos2_bit116,0.0026051474
pos12_bit58,0.002596653
pos11_bit69,0.00258624
pos5_bit42,0.0025854085
pos7_bit23,0.0025836166
pos1_bit72,0.0025789964
pos8_bit90,0.0025696333
pos3_bit73,0.0025635306
pos0_bit8,0.002533298
pos7_bit11,0.0025242374
pos4_bit90,0.0025225747
pos1_bit66,0.0025141018
pos5_bit82,0.002482257
pos3_bit105,0.002473664
pos7_bit63,0.0024562895
pos0_bit70,0.002451777
pos7_bit72,0.0024438468
pos0_bit54,0.0024425155
pos7_bit84,0.002346021
pos4_bit72,0.0023397794
pos0_bit63,0.0023325249
pos9_bit37,0.0023045533
pos11_bit16,0.0022909152
pos5_bit56,0.002250843
pos7_bit54,0.0021983394
pos6_bit74,0.002141556
pos6_bit16,0.0021308055
pos9_bit43,0.0021230206
pos5_bit90,0.0021192667
pos6_bit116,0.0020857302
pos13_bit0,0.0020597351
pos8_bit71,0.0019971167
pos2_bit98,0.0019754914
pos6_bit44,0.0019514025
pos13_bit108,0.0019480257
pos7_bit37,0.0019426999
pos2_bit65,0.0019322084
pos9_bit98,0.0019200763
pos0_bit85,0.001914114
pos11_bit84,0.0019098055
pos3_bit13,0.0019053464
pos0_bit118,0.0018978372
pos11_bit114,0.0018540227
pos4_bit28,0.0018412579
pos4_bit14,0.0018205178
pos3_bit102,0.0018056297
pos4_bit8,0.0017728955
pos1_bit31,0.0017612065
pos10_bit43,0.0017505093
pos1_bit46,0.0017294439
pos9_bit111,0.0017119885
pos9_bit89,0.001691932
pos1_bit106,0.0016852475
pos12_bit99,0.0016832463
pos4_bit42,0.001666766
pos14_bit0,0.0016607658
pos6_bit93,0.0016537652
pos6_bit98,0.0016429732
pos1_bit93,0.0016329038
pos0_bit61,0.001614312
pos4_bit61,0.0016019169
pos11_bit106,0.0015977672
pos13_bit33,0.0015875576
pos14_bit18,0.0015678155
pos5_bit73,0.0015403242
pos1_bit12,0.0015333759
pos9_bit118,0.0015313773
pos9_bit8,0.0015194267
pos9_bit70,0.0015185712
pos7_bit46,0.0015063063
pos10_bit98,0.0014989609
pos3_bit85,0.0014790013
pos8_bit42,0.0014686827
pos7_bit118,0.0014643463
pos9_bit116,0.0014602077
pos3_bit65,0.0014570289
pos5_bit62,0.001454183
pos5_bit91,0.0014480888
pos6_bit23,0.0014432825
pos7_bit44,0.001427935
pos2_bit84,0.0014184556
pos11_bit85,0.0014106871
pos3_bit116,0.0013979744
pos9_bit11,0.001357626
pos4_bit6,0.001350845
pos8_bit31,0.0013451373
pos6_bit31,0.0013388672
pos1_bit98,0.0013140817
pos10_bit83,0.0013130385
pos8_bit12,0.001301855
pos9_bit50,0.0012933165
pos0_bit35,0.0012766464
pos9_bit71,0.0012743558
pos13_bit66,0.0012664808
pos12_bit46,0.0012540595
pos9_bit119,0.0012483746
pos8_bit84,0.0012164582
pos3_bit111,0.0011873159
pos1_bit70,0.001180051
pos0_bit106,0.0011734463
pos11_bit56,0.0011414501
pos8_bit44,0.0011206762
pos11_bit121,0.001109678
pos11_bit38,0.0010850345
pos6_bit11,0.0010450165
pos7_bit4,0.001023569
pos10_bit84,0.001008914
pos15_bit27,0.000994839
pos6_bit78,0.000980278
pos7_bit111,0.0009699981
pos0_bit91,0.00096362556
pos13_bit16,0.0009540843
pos8_bit2,0.0009471055
pos1_bit54,0.0009166502
pos12_bit40,0.00091415225
pos2_bit122,0.0008833877
pos2_bit43,0.00088085764
pos7_bit56,0.0008712082
pos8_bit28,0.0008596856
pos1_bit28,0.00085804914
pos2_bit8,0.0008524673
pos8_bit102,0.00084551633
pos1_bit14,0.00083761854
pos13_bit59,0.0008312873
pos8_bit98,0.00081693166
